
######################################################################
## FlatScanBenchmark
######################################################################
Started FlatScanBenchmark at 2026-06-23 19:13:49 UTC
---- Out-of-the-box (all cores) ----
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-01.parquet
  Downloaded: 59158238 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-02.parquet
  Downloaded: 60343086 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-03.parquet
  Downloaded: 69964745 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-04.parquet
  Downloaded: 67352824 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-05.parquet
  Downloaded: 77837865 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-06.parquet
  Downloaded: 73542954 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-07.parquet
  Downloaded: 66943728 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-08.parquet
  Downloaded: 62293743 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-09.parquet
  Downloaded: 72432945 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-10.parquet
  Downloaded: 75267589 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-11.parquet
  Downloaded: 71134255 bytes
Downloading: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-12.parquet
  Downloaded: 73701327 bytes
Run params: 48,722,602 rows, 830.0 MB, Java 25 (Eclipse Adoptium) (2025-01–2025-12)
# JMH version: 1.37
# VM version: JDK 25, OpenJDK 64-Bit Server VM, 25+36-LTS
# VM invoker: /home/build/.sdkman/candidates/java/25-tem/bin/java
# VM options: --add-opens=java.base/java.nio=ALL-UNNAMED --enable-native-access=ALL-UNNAMED --sun-misc-unsafe-memory-access=allow -Dperf.results=target/bench-throughput-FlatScanBenchmark.tsv -Dperf.pass=unpinned -Dperf.forks=5 -Dperf.meas=10 -Dperf.include=hardwood|parquetJava|avroParquetReaderNamed|avroParquetReaderIndexed -Dperf.pass=unpinned
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.hardwood.benchmarks.FlatScanBenchmark.avroParquetReaderIndexed

# Run progress: 0.00% complete, ETA 00:13:00
# Fork: 1 of 5
# Warmup Iteration   1: 31256.921 ms/op
# Warmup Iteration   2: 30500.472 ms/op
# Warmup Iteration   3: 30499.188 ms/op
Iteration   1: 30514.737 ms/op
Iteration   2: 30493.464 ms/op
Iteration   3: 30375.094 ms/op
Iteration   4: 30566.278 ms/op
Iteration   5: 30409.903 ms/op
Iteration   6: 30571.650 ms/op
Iteration   7: 30455.226 ms/op
Iteration   8: 30527.484 ms/op
Iteration   9: 31229.522 ms/op
Iteration  10: 30960.531 ms/op

# Run progress: 3.33% complete, ETA 03:12:49
# Fork: 2 of 5
# Warmup Iteration   1: 31636.457 ms/op
# Warmup Iteration   2: 31089.191 ms/op
# Warmup Iteration   3: 30978.963 ms/op
Iteration   1: 30874.377 ms/op
Iteration   2: 30930.353 ms/op
Iteration   3: 30715.635 ms/op
Iteration   4: 30696.006 ms/op
Iteration   5: 30861.659 ms/op
Iteration   6: 30893.201 ms/op
Iteration   7: 30750.550 ms/op
Iteration   8: 30941.816 ms/op
Iteration   9: 30855.331 ms/op
Iteration  10: 30813.322 ms/op

# Run progress: 6.67% complete, ETA 03:07:01
# Fork: 3 of 5
# Warmup Iteration   1: 31401.787 ms/op
# Warmup Iteration   2: 30588.207 ms/op
# Warmup Iteration   3: 30607.072 ms/op
Iteration   1: 30470.220 ms/op
Iteration   2: 30552.321 ms/op
Iteration   3: 30363.693 ms/op
Iteration   4: 30553.149 ms/op
Iteration   5: 30433.730 ms/op
Iteration   6: 30535.153 ms/op
Iteration   7: 30486.814 ms/op
Iteration   8: 30314.295 ms/op
Iteration   9: 30565.939 ms/op
Iteration  10: 30619.180 ms/op

# Run progress: 10.00% complete, ETA 02:59:56
# Fork: 4 of 5
# Warmup Iteration   1: 31381.989 ms/op
# Warmup Iteration   2: 30587.903 ms/op
# Warmup Iteration   3: 30602.756 ms/op
Iteration   1: 30634.077 ms/op
Iteration   2: 30487.575 ms/op
Iteration   3: 30389.410 ms/op
Iteration   4: 30584.471 ms/op
Iteration   5: 30464.343 ms/op
Iteration   6: 30705.519 ms/op
Iteration   7: 30526.931 ms/op
Iteration   8: 30455.225 ms/op
Iteration   9: 30500.248 ms/op
Iteration  10: 30544.571 ms/op

# Run progress: 13.33% complete, ETA 02:53:07
# Fork: 5 of 5
# Warmup Iteration   1: 31473.606 ms/op
# Warmup Iteration   2: 30578.167 ms/op
# Warmup Iteration   3: 30847.096 ms/op
Iteration   1: 30645.039 ms/op
Iteration   2: 30451.549 ms/op
Iteration   3: 30528.443 ms/op
Iteration   4: 30455.290 ms/op
Iteration   5: 30699.355 ms/op
Iteration   6: 30470.509 ms/op
Iteration   7: 30499.343 ms/op
Iteration   8: 30610.411 ms/op
Iteration   9: 30446.575 ms/op
Iteration  10: 30613.547 ms/op


Result "dev.hardwood.benchmarks.FlatScanBenchmark.avroParquetReaderIndexed":
  30600.861 ±(99.9%) 92.595 ms/op [Average]
  (min, avg, max) = (30314.295, 30600.861, 31229.522), stdev = 187.046
  CI (99.9%): [30508.266, 30693.456] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 25, OpenJDK 64-Bit Server VM, 25+36-LTS
# VM invoker: /home/build/.sdkman/candidates/java/25-tem/bin/java
# VM options: --add-opens=java.base/java.nio=ALL-UNNAMED --enable-native-access=ALL-UNNAMED --sun-misc-unsafe-memory-access=allow -Dperf.results=target/bench-throughput-FlatScanBenchmark.tsv -Dperf.pass=unpinned -Dperf.forks=5 -Dperf.meas=10 -Dperf.include=hardwood|parquetJava|avroParquetReaderNamed|avroParquetReaderIndexed -Dperf.pass=unpinned
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.hardwood.benchmarks.FlatScanBenchmark.avroParquetReaderNamed

# Run progress: 16.67% complete, ETA 02:46:24
# Fork: 1 of 5
# Warmup Iteration   1: 35272.787 ms/op
# Warmup Iteration   2: 34341.257 ms/op
# Warmup Iteration   3: 34365.331 ms/op
Iteration   1: 34488.080 ms/op
Iteration   2: 34371.053 ms/op
Iteration   3: 34350.248 ms/op
Iteration   4: 34291.836 ms/op
Iteration   5: 34295.181 ms/op
Iteration   6: 34269.667 ms/op
Iteration   7: 34216.529 ms/op
Iteration   8: 34201.688 ms/op
Iteration   9: 34200.488 ms/op
Iteration  10: 34195.597 ms/op

# Run progress: 20.00% complete, ETA 02:42:57
# Fork: 2 of 5
# Warmup Iteration   1: 34756.843 ms/op
# Warmup Iteration   2: 33845.204 ms/op
# Warmup Iteration   3: 33911.320 ms/op
Iteration   1: 33756.236 ms/op
Iteration   2: 33843.623 ms/op
Iteration   3: 33963.543 ms/op
Iteration   4: 33872.579 ms/op
Iteration   5: 33851.984 ms/op
Iteration   6: 33884.744 ms/op
Iteration   7: 33815.818 ms/op
Iteration   8: 33860.202 ms/op
Iteration   9: 33917.945 ms/op
Iteration  10: 33939.488 ms/op

# Run progress: 23.33% complete, ETA 02:38:02
# Fork: 3 of 5
# Warmup Iteration   1: 34919.743 ms/op
# Warmup Iteration   2: 34188.624 ms/op
# Warmup Iteration   3: 34282.949 ms/op
Iteration   1: 34347.871 ms/op
Iteration   2: 34240.229 ms/op
Iteration   3: 34080.933 ms/op
Iteration   4: 34269.733 ms/op
Iteration   5: 34175.571 ms/op
Iteration   6: 34130.243 ms/op
Iteration   7: 33950.390 ms/op
Iteration   8: 34128.202 ms/op
Iteration   9: 34371.491 ms/op
Iteration  10: 34216.804 ms/op

# Run progress: 26.67% complete, ETA 02:32:42
# Fork: 4 of 5
# Warmup Iteration   1: 34945.457 ms/op
# Warmup Iteration   2: 34094.703 ms/op
# Warmup Iteration   3: 34236.671 ms/op
Iteration   1: 33980.490 ms/op
Iteration   2: 34058.954 ms/op
Iteration   3: 34006.548 ms/op
Iteration   4: 34080.288 ms/op
Iteration   5: 34136.530 ms/op
Iteration   6: 34095.210 ms/op
Iteration   7: 34057.691 ms/op
Iteration   8: 34140.892 ms/op
Iteration   9: 34116.774 ms/op
